,J1,J2,J3,Out1,St1
0,0,0.43210958,0.538480955,0.47758175,0.719731994
1,0,0.401330239,0.495968893,0.444356759,0.694405593
2,0,0.018563159,0.064082973,0.049868814,0.694266953
3,0,0.351901725,0.431164173,0.390797844,0.674391384
4,0,0.347517891,0.425533357,0.385945572,0.655061169
5,0,0.386504405,0.477325494,0.429299489,0.630924702
6,0,0.018508309,0.063671535,0.049533687,0.630795514
7,0,0.373369886,0.460061494,0.415063596,0.607818754
8,0,0.331907411,0.405591344,0.368924262,0.590119206
9,0,0.35277066,0.433264847,0.392801167,0.569813299
10,0,0.018292101,0.062777023,0.048815347,0.569704302
11,0,0.33726263,0.413179393,0.375488025,0.550697187
12,0,0.331610439,0.406006575,0.369405436,0.532723852
13,0,0.312354511,0.380881225,0.347264213,0.516943869
14,0,0.30792764,0.375320896,0.342304175,0.501575687
15,0,0.017943885,0.061349241,0.047695534,0.501491482
16,0.132696811,0.262573576,0.318459084,0.291193476,0.490869628
17,0.349662921,0.304792185,0.370449268,0.337862328,0.486306056
18,0.529860299,0.315037593,0.381092939,0.346936129,0.506290064
19,0.673037672,0.342884114,0.414280645,0.375405516,0.553996432
20,0.970678944,0.294112366,0.353861797,0.323035368,0.656678293
21,1.213010375,0.505404485,0.614055189,0.527633907,0.817662696
22,1.400656267,0.419470501,0.513931424,0.457055081,1.047697794
23,1.54601452,0.76673748,1.355807868,0.732248662,1.287275344
24,1.54485791,0.187628324,0.225554054,0.204809594,1.603534465
25,1.540053175,1.125226538,1.44195449,0.742254819,1.857503587
26,1.536946419,0.780861833,1.372522168,0.734328606,2.112960667
27,1.534806868,1.724440281,1.740184067,0.772554786,2.358982785
28,1.387784138,0.353763863,0.431525145,0.390752962,2.638902761
29,1.296745737,0.49173622,0.618238993,0.533516212,2.86967134
30,1.23811219,0.503368856,0.635585892,0.545014003,3.077190557
31,1.198742805,2.01262392,1.883831801,0.785634616,3.229731428
32,1.074314267,2.11336331,1.933890446,0.790107565,3.359405049
33,0.987647275,2.407968116,2,0.79599552,3.454130106
34,0.926599736,0.020654957,0.07288184,0.057757303,3.607662686
35,0.88243025,1.958278735,1.857010917,0.783292968,3.669486501
36,0.759362449,0.538135797,0.689625623,0.5787897,3.745845418
37,0.663749167,0.237156743,0.286920108,0.261983661,3.826645639
38,0.589040928,0.543493144,0.698466482,0.583954436,3.855108406
39,0.529010196,2.074794342,1.915021624,0.788516227,3.833618209
40,0.479716815,0.020570649,0.072598033,0.057481739,3.879344231
41,0.438661926,0.238530888,0.288399851,0.263327251,3.908441207
42,0.403704394,0.017248815,0.058390968,0.045516993,3.940494441
43,0.373853269,2.11379278,1.934408757,0.790249178,3.88857649
44,0.347798235,2.075959065,1.91565128,0.788588284,3.835207828
45,0.324916958,0.020570853,0.072598696,0.057482381,3.855023203
46,0.305039113,0.692647693,1.124097107,0.704568155,3.811859353
47,0.287469899,0.689126252,1.106080027,0.702186979,3.766742381
48,0.271444319,0.019630313,0.069489685,0.054550422,3.780120038
49,0.256883452,0.538540219,0.691015614,0.579678294,3.750689854
50,0.244071826,0.683996419,1.080131044,0.698740019,3.701591786
51,0.232423461,1.347132371,1.552702557,0.754611114,3.640771595
52,0.22175036,0.020319892,0.071815247,0.056728933,3.649217115
53,0.212038434,0.675970917,1.038606716,0.693138084,3.598302173
54,0.203071698,2.456170976,2,0.79599552,3.523282185
